(5.140, -0.010, -0.020)
(5.020, -0.050, 0.060)
(5.110, -0.340, -0.070)
(5.100, 0.380, 0.010)
(5.180, -0.370, 0.000)
(5.120, -0.140, -0.090)
(5.000, -0.290, -0.070)
(5.010, -0.310, 0.050)
(5.110, -0.250, 0.070)
(5.160, -0.400, 0.060)
(5.050, -0.200, -0.030)
(5.160, 0.000, -0.010)
(5.160, 0.200, 0.040)
(5.090, -0.300, 0.020)
(5.190, 0.000, 0.060)
(5.020, 0.290, -0.010)
(5.170, 0.340, 0.040)
(5.140, 0.210, -0.070)
(5.000, -0.330, -0.040)
(5.080, -0.230, -0.090)
(5.160, 0.300, -0.040)
(5.120, -0.160, 0.060)
(5.020, 0.240, -0.010)
(5.160, 0.190, 0.050)
(5.000, -0.200, -0.080)
(5.060, 0.110, -0.100)
(5.160, -0.260, 0.090)
(5.110, -0.140, 0.070)
(5.110, -0.340, 0.000)
(5.050, 0.230, 0.040)
(5.080, -0.220, -0.030)
(5.180, -0.110, -0.070)
(5.160, -0.240, 0.030)
(5.000, 0.300, 0.050)
(5.130, -0.090, -0.020)
(5.070, -0.380, -0.080)
(5.110, -0.030, -0.020)
(5.110, 0.280, 0.000)
(5.120, 0.300, 0.090)
(5.120, -0.230, 0.090)
(5.120, -0.260, 0.010)
(5.070, -0.300, 0.030)
(5.170, 0.200, -0.070)
(5.080, -0.050, -0.100)
(5.060, -0.010, 0.060)
(5.110, 0.260, 0.040)
(5.100, -0.080, -0.100)
(5.150, 0.270, 0.090)
(5.170, -0.320, 0.000)
(5.120, 0.300, -0.070)
(5.000, 0.330, 0.060)
(5.110, 0.210, -0.060)
(5.160, -0.160, -0.030)
(5.070, -0.100, -0.010)
(5.000, -0.140, -0.040)
(5.020, -0.260, 0.010)
(5.190, 0.110, -0.030)
(5.140, -0.140, -0.030)
(5.100, 0.180, -0.010)
(5.110, -0.080, -0.010)
(5.160, -0.290, -0.080)
(5.080, 0.240, -0.040)
(5.100, -0.370, -0.050)
(5.050, -0.080, -0.070)
(5.070, 0.220, -0.020)
(5.060, 0.310, -0.070)
(5.000, -0.170, 0.050)
(5.150, 0.290, 0.080)
(5.150, 0.190, -0.070)
(5.120, -0.020, 0.040)
(5.110, -0.080, -0.090)
(5.060, -0.340, -0.060)
(5.010, 0.300, -0.070)
(5.070, 0.290, -0.030)
(5.160, -0.380, -0.010)
(5.090, 0.190, 0.030)
(5.140, 0.040, 0.030)
(5.140, -0.110, -0.010)
(5.100, -0.210, 0.080)
(5.080, -0.070, -0.020)
(5.160, -0.220, 0.090)
(5.000, -0.130, -0.100)
(5.140, -0.220, -0.030)
(5.180, -0.240, -0.040)
(5.040, 0.290, 0.070)
(5.160, -0.030, -0.070)
(5.020, -0.360, 0.060)
(5.080, 0.260, -0.060)
(5.000, 0.040, -0.010)
(5.110, -0.240, 0.060)
(5.070, -0.100, 0.050)
(5.170, -0.290, -0.100)
(5.010, -0.300, -0.100)
(5.010, -0.020, 0.000)
(5.160, -0.340, 0.060)
(5.030, -0.100, -0.050)
(5.170, -0.330, -0.020)
(5.120, -0.120, -0.100)
(5.000, 0.120, 0.010)
(5.190, 0.080, 0.030)
(5.110, 0.020, 0.080)
(5.140, 0.020, -0.090)
(5.000, -0.320, 0.050)
(5.040, 0.090, 0.050)
(5.010, -0.020, -0.080)
(5.140, 0.270, 0.020)
(5.090, 0.310, -0.100)
(5.080, -0.060, 0.090)
(5.110, -0.130, 0.090)
(5.100, 0.060, 0.030)
(5.070, 0.090, 0.080)
(5.050, -0.190, 0.070)
(5.040, -0.340, -0.020)
(5.020, -0.150, -0.090)
(5.150, -0.270, 0.000)
(5.150, 0.240, -0.080)
(5.140, 0.050, 0.090)
(5.110, 0.260, 0.080)
(5.000, 0.020, -0.050)
(5.110, -0.150, -0.060)
(5.040, 0.260, -0.030)
(5.110, -0.030, 0.010)
(5.150, -0.150, -0.010)
(5.040, 0.020, -0.040)
(5.050, -0.330, 0.090)
(5.140, -0.190, -0.100)
(5.040, 0.360, -0.070)
(5.000, -0.090, 0.030)
(5.110, 0.220, 0.010)
(5.120, 0.120, -0.060)
(5.020, -0.240, 0.020)
(5.130, 0.160, 0.080)
(5.100, 0.110, -0.060)
(5.160, 0.300, -0.010)
(5.010, 0.160, 0.080)
(5.000, -0.220, -0.050)
(5.090, 0.080, 0.010)
(5.160, 0.180, -0.060)
(5.100, -0.380, -0.050)
(5.060, 0.060, -0.070)
(5.130, 0.090, 0.060)
(5.170, -0.020, -0.060)
(5.090, 0.370, 0.060)
(5.030, 0.060, 0.080)
(5.020, -0.320, 0.070)
(5.130, -0.360, 0.010)
(5.180, 0.240, 0.090)
(5.060, -0.160, 0.090)
(5.000, -0.180, 0.040)
(5.050, -0.200, -0.010)
(5.110, 0.250, 0.040)
(5.090, -0.130, -0.040)
(5.140, 0.220, -0.040)
(5.000, -0.350, -0.040)
(5.190, -0.240, 0.020)
(5.150, 0.060, -0.020)
(5.190, 0.010, 0.060)
(5.070, -0.230, -0.090)
(5.090, 0.310, -0.020)
(5.090, -0.010, -0.040)
(5.160, 0.120, -0.020)
(5.180, 0.150, 0.050)
(5.170, 0.340, -0.020)
(5.050, -0.070, -0.050)
(5.110, 0.040, 0.090)
(5.130, -0.050, -0.070)
(5.050, -0.060, 0.010)
(5.130, -0.040, 0.020)
(5.150, 0.050, 0.060)
(5.040, 0.370, -0.030)
(5.150, -0.320, 0.040)
(5.100, -0.010, 0.090)
(5.040, 0.190, -0.090)
(5.110, -0.240, 0.000)
(5.130, 0.390, -0.030)
(5.050, -0.130, 0.030)
(5.000, 0.350, -0.020)
(5.020, 0.390, -0.090)
(5.010, -0.240, -0.020)
(5.060, -0.290, -0.070)
(5.140, -0.340, 0.040)
(5.110, -0.010, 0.060)
(5.030, 0.270, 0.070)
(5.070, -0.090, 0.050)
(5.100, -0.100, 0.070)
(5.040, -0.110, 0.010)
(5.150, 0.280, 0.080)
(5.160, 0.250, -0.070)
(5.020, 0.000, -0.050)
(5.040, 0.110, 0.060)
(5.100, -0.340, 0.050)
(5.090, 0.010, -0.080)
(5.000, -0.300, 0.060)
(5.170, -0.340, 0.070)
(5.160, 0.370, -0.030)
(5.180, 0.220, -0.020)
(5.120, -0.370, -0.020)
(5.180, -0.270, 0.020)
(5.100, 0.030, 0.080)
(5.190, 0.090, -0.020)
(5.130, -0.100, -0.030)
(5.120, 0.280, -0.030)
(5.040, 0.160, 0.070)
(5.030, 0.260, 0.080)
(5.100, -0.290, 0.050)
(5.010, -0.150, 0.050)
(5.040, 0.080, -0.050)
(5.030, 0.050, 0.050)
(5.060, -0.350, 0.090)
(5.130, 0.280, 0.090)
(5.140, 0.100, 0.090)
(5.160, 0.020, 0.050)
(5.060, -0.400, 0.020)
(5.030, 0.200, -0.050)
(5.150, -0.080, 0.020)
(5.050, -0.280, 0.010)
(5.140, 0.270, 0.070)
(5.100, 0.020, 0.030)
(5.150, -0.380, -0.030)
(5.070, -0.250, -0.030)
(5.170, 0.060, -0.050)
(5.080, 0.090, -0.020)
(5.100, 0.360, -0.040)
(5.100, 0.340, -0.100)
(5.140, 0.300, 0.020)
(5.050, 0.070, 0.020)
(5.100, -0.110, -0.080)
(5.070, 0.120, -0.060)
(5.140, -0.210, -0.070)
(5.150, -0.240, 0.080)
(5.130, -0.160, -0.050)
(5.020, 0.210, 0.050)
(5.120, -0.050, -0.080)
(5.010, 0.070, -0.100)
(5.120, 0.200, 0.050)
(5.010, -0.220, -0.040)
(5.060, 0.220, 0.090)
(5.000, -0.400, 0.090)
(5.170, -0.210, 0.090)
(5.090, -0.350, -0.080)
(5.190, 0.210, -0.040)
(5.120, -0.170, -0.080)
(5.100, 0.190, -0.060)
(5.080, 0.110, -0.040)
(5.100, -0.400, 0.060)
(5.130, 0.030, 0.090)
(5.030, 0.000, -0.010)
(5.160, -0.100, 0.010)
(5.010, 0.140, -0.060)
(5.110, 0.240, 0.050)
(5.030, 0.340, 0.010)
(5.010, 0.000, 0.050)
(5.030, -0.290, -0.060)
(5.030, -0.120, 0.010)
(5.020, -0.370, -0.080)
(5.040, 0.200, 0.090)
(5.010, 0.320, -0.090)
(5.130, 0.220, 0.070)
(5.080, 0.360, -0.040)
(5.040, 0.040, -0.080)
(5.100, 0.360, 0.020)
(5.160, 0.360, -0.090)
(5.090, -0.140, 0.020)
(5.100, 0.290, -0.100)
(5.000, 0.040, 0.040)
(5.110, 0.290, -0.070)
(5.040, -0.330, 0.020)
(5.040, -0.070, 0.020)
(5.100, 0.390, -0.010)
(5.140, -0.260, -0.050)
(5.180, -0.110, 0.020)
(5.140, 0.260, 0.080)
(5.130, -0.180, 0.030)
(5.050, 0.370, -0.050)
(5.070, -0.060, -0.090)
(5.050, -0.170, -0.080)
(5.170, 0.300, -0.060)
(5.020, -0.160, 0.090)
(5.000, 0.330, -0.070)
(5.010, -0.140, 0.020)
(5.020, -0.330, -0.080)
(5.130, 0.380, 0.000)
(5.050, 0.370, 0.090)
(5.020, -0.060, -0.030)
(5.110, -0.180, -0.030)
(5.110, 0.230, 0.000)
(5.190, 0.100, 0.010)
(5.090, -0.340, 0.010)
(5.190, 0.030, 0.080)
(5.070, 0.390, 0.060)
(5.190, -0.140, -0.050)
(5.130, -0.400, -0.090)
(5.110, -0.360, 0.020)
(5.120, 0.150, 0.060)
(5.180, -0.320, -0.010)
(5.020, 0.250, -0.060)
(5.020, 0.360, 0.000)
(5.190, 0.300, -0.070)
(5.080, -0.340, 0.020)
(5.180, -0.290, 0.020)
(5.090, -0.040, -0.040)
(5.190, -0.340, 0.070)
(5.050, -0.090, -0.080)
(5.070, -0.010, 0.080)
(5.090, -0.330, 0.030)
(5.080, -0.220, -0.090)
(5.170, -0.270, 0.090)
(5.150, 0.340, -0.010)
(5.160, 0.190, 0.090)
(5.060, 0.300, 0.050)
(5.190, 0.070, -0.090)
(5.120, 0.290, 0.030)
(5.070, 0.090, 0.030)
(5.020, -0.030, -0.100)
(5.160, 0.380, -0.080)
(5.100, 0.380, -0.080)
(5.060, 0.320, -0.060)
(5.190, 0.060, 0.030)
(5.080, 0.210, -0.070)
(5.120, -0.220, 0.020)
(5.150, -0.390, -0.090)
(5.040, 0.290, 0.030)
(5.020, 0.390, 0.030)
(5.140, 0.280, -0.100)
(5.050, -0.110, 0.000)
(5.030, 0.220, -0.050)
(5.000, 0.060, 0.060)
(5.070, 0.280, 0.050)
(5.040, 0.080, 0.060)
(5.020, -0.140, 0.020)
(5.180, -0.400, -0.100)
(5.140, -0.220, -0.040)
(5.020, 0.210, 0.000)
(5.110, 0.300, -0.050)
(5.030, -0.400, -0.050)
(5.080, 0.070, -0.020)
(5.180, -0.020, -0.100)
(5.080, 0.390, -0.060)
(5.020, -0.260, 0.030)
(5.030, 0.050, -0.020)
(5.020, -0.040, 0.010)
(5.130, -0.280, -0.090)
(5.020, 0.230, 0.080)
(5.010, -0.310, -0.100)
(5.190, 0.190, -0.070)
(5.000, -0.300, -0.030)
(5.030, -0.060, 0.090)
(5.100, -0.220, 0.060)
(5.010, -0.300, -0.030)
(5.110, 0.270, -0.080)
(5.160, -0.360, -0.050)
(5.000, -0.170, -0.010)
(5.190, -0.150, -0.020)
(5.050, 0.330, -0.100)
(5.140, -0.050, -0.050)
(5.140, -0.230, -0.070)
(5.020, -0.090, -0.010)
(5.120, 0.110, 0.080)
(5.080, -0.350, 0.020)
(5.050, -0.150, -0.030)
(5.070, 0.110, -0.050)
(5.090, -0.150, -0.060)
(5.110, -0.150, 0.020)
(5.140, -0.070, -0.040)
(5.080, 0.300, 0.040)
(5.050, -0.120, 0.040)
(5.100, -0.320, -0.070)
(5.150, 0.190, -0.030)
(5.190, -0.040, 0.040)
(5.080, -0.100, 0.040)
(5.120, 0.000, -0.090)
(5.170, 0.330, -0.100)
(5.170, -0.090, 0.090)
(5.050, -0.250, 0.050)
(5.090, 0.220, -0.090)
(5.010, 0.290, -0.100)
(5.020, -0.350, 0.050)
(5.010, 0.300, 0.020)
(5.150, -0.320, 0.060)
(5.050, -0.210, -0.070)
(5.000, -0.130, -0.050)
(5.100, -0.130, 0.090)
(5.060, 0.180, -0.030)
(5.120, 0.210, 0.040)
(5.060, -0.180, -0.030)
(5.170, 0.160, 0.000)
(5.140, 0.320, 0.080)
(5.160, 0.280, 0.000)
(5.170, -0.050, -0.100)
(5.080, 0.230, -0.090)
(5.060, -0.250, 0.080)
(5.050, 0.260, -0.080)
(5.000, 0.330, 0.020)
(5.160, 0.290, -0.040)
(5.150, 0.340, -0.080)
(5.130, -0.290, -0.030)
(5.010, 0.260, -0.020)
(5.080, -0.100, 0.010)
(5.120, -0.220, -0.040)
(5.140, -0.100, -0.010)
(5.100, -0.380, -0.060)
(5.070, 0.150, 0.010)
(5.100, 0.220, -0.080)
(5.120, 0.190, 0.030)
(5.190, -0.130, -0.090)
(5.180, -0.290, -0.060)
(5.020, 0.310, 0.000)
(5.140, -0.310, 0.020)
(5.160, -0.300, 0.080)
(5.120, 0.060, -0.050)
(5.120, -0.290, -0.020)
(5.000, 0.000, 0.060)
(5.170, 0.030, -0.090)
(5.020, 0.260, -0.020)
(5.040, 0.380, -0.090)
(5.170, -0.170, -0.040)
(5.020, 0.060, 0.060)
(5.180, 0.030, 0.080)
(5.080, -0.300, 0.080)
(5.110, -0.260, -0.070)
(5.100, -0.050, 0.060)
(5.130, -0.210, 0.030)
(5.180, -0.160, -0.030)
(5.100, 0.130, 0.020)
